ID,RA[hr],Dec[deg],ID_Simbad,ID_MWSC,ID_WEBDA,ID_Piskunov,ID_Kharchenko,ID_Salaris,ID_vandenBergh,ID_Cantat-Gaudin,ID_Lynga,dist[pc],err_dist[pc],N_dist[pc],age[Myr],err_age[Myr],N_age[Myr],[Fe/H],err_[Fe/H],N_[Fe/H],mass[Msun],err_mass[Msun],N_mass[Msun],rgc[pc],err_rgc[pc],N_rgc[pc],rhm[pc],err_rhm[pc],N_rhm[pc],Av[mag],err_Av[mag],N_Av[mag]
C_1112-573,11 14 29.520,-57 33 46.800,C_1112-573,Trumpler_19,,,Trumpler_19,,,Trumpler_19,Trumpler_19,2140.1,140.51906157766172,3.0,4466.835921509635,0.0,2.0,,,,137.75,55.67245167046266,4.0,7837.4,0.0,1.0,3.343214985415628,1.0668555814541414,1.0,0.3008,0.0,1.0
[KPS2012]_MWSC_4349,17 27 02.000,-57 31 30.000,[KPS2012]_MWSC_4349,MWSC_4349,,,,,,,,3210.0,0.0,1.0,638.2634861905483,0.0,1.0,,,,42.0,0.0,1.0,,,,,,,,,
Cl_Ruprecht_91,10 47 51.360,-57 28 58.800,Cl_Ruprecht_91,Ruprecht_91,Ruprecht_91,Ruprecht_91,Ruprecht_91,,,Ruprecht_91,,1007.28,39.96897196576365,5.0,235.85101497786343,74.4448636171329,4.0,,,,55.41386896015192,12.915376814847047,5.0,8097.9,0.0,1.0,1.6129225466880337,0.4873396823405195,1.0,0.032,0.0,3.0
NGC_6005,15 55 49.200,-57 26 20.400,NGC_6005,NGC_6005,NGC_6005,,NGC_6005,,NGC_6005,NGC_6005,NGC_6005,2308.6400000000003,186.2277521745886,5.0,768.4624143312561,310.01657245905625,3.0,,,,119.6,60.50262804209417,5.0,6390.4,0.0,1.0,1.6418649259164448,0.2812030623033884,1.0,1.8192000000000004,0.2681348914259389,2.0
[FSR2007]_1527,10 06 32.000,-57 24 48.000,[FSR2007]_1527,FSR_1527,,,FSR_1527,,,,,3258.0,0.0,2.0,1.584893192461114,0.0,2.0,,,,25.5,0.0,2.0,,,,4.299357498245424,0.0,1.0,3.3312,0.0,1.0
[KPS2012]_MWSC_2058,12 39 23.000,-57 22 48.000,[KPS2012]_MWSC_2058,FSR_1621,,,FSR_1621,,,,,1015.0,0.0,2.0,100.0,0.0,2.0,,,,46.0,0.0,2.0,,,,0.6458262336420164,0.0,1.0,0.6656,0.0,1.0
[FSR2007]_1530,10 08 51.840,-57 17 16.800,[FSR2007]_1530,FSR_1530,,,FSR_1530,,,FSR_1530,,4252.566666666667,81.29584290770389,3.0,630.9573444801944,0.0,2.0,,,,21.666666666666668,1.3608276348795436,3.0,8574.8,0.0,1.0,3.5826713563842922,1.9898864310411073,1.0,3.0656,0.0,1.0
[KPS2012]_MWSC_2054,12 37 35.000,-57 15 36.000,[KPS2012]_MWSC_2054,FSR_1620,,,FSR_1620,,,,,2304.0,0.0,2.0,1531.087461682032,0.0,2.0,,,,32.5,0.0,2.0,,,,3.505913839770946,0.0,1.0,1.8656,0.0,1.0
[KPS2012]_MWSC_4119,07 06 04.000,-57 13 48.000,[KPS2012]_MWSC_4119,MWSC_4119,,,,,,,,2347.0,0.0,1.0,966.0508789898122,0.0,1.0,,,,39.5,0.0,1.0,,,,,,,,,
[KPS2012]_MWSC_2017,12 21 14.000,-57 11 06.000,[KPS2012]_MWSC_2017,FSR_1608,,,FSR_1608,,,,,7354.0,0.0,2.0,1584.8931924611109,0.0,2.0,,,,64.5,0.0,2.0,,,,7.288610351102757,0.0,1.0,1.6672000000000002,0.0,1.0
